#define REPS 80					
#define SUBREPS 500
#define SUBSUBREPS 500
#define INCREMENTS_NURSE 15000		
#define INCREMENTS_SHIFT_100 1500 //small usage decreases runtime significanlty  
#define INCREMENTS_SHIFT 100000
#define PROB_RAND_INIT .05

REP 33   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8083   || 68401        || 0     | 3     | 0     | 0    || 0    | 0     ||
REP 34   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7324   || 68456        || 1     | 4     | 0     | 0    || 0    | 0     ||
REP 35   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7453   || 68324        || 0     | 1     | 0     | 1    || 0    | 0     ||
REP 36   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7148   || 68387        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 37   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7379   || 68460        || 0     | 4     | 0     | 0    || 0    | 0     ||
REP 38   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7183   || 68416        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 39   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7924   || 68280        || 0     | 4     | 0     | 0    || 0    | 0     ||
REP 40   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8871   || 68357        || 0     | 3     | 0     | 1    || 0    | 0     ||
REP 41   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7764   || 68460        || 0     | 1     | 0     | 1    || 0    | 0     ||
REP 42   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7619   || 68280        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 43   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8326   || 68416        || 0     | 3     | 0     | 0    || 0    | 0     ||
REP 44   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 9391   || 68300        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 45   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7440   || 68401        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 46   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7689   || 68515        || 0     | 3     | 0     | 0    || 0    | 0     ||
REP 47   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7174   || 68284        || 0     | 1     | 0     | 1    || 0    | 0     ||
REP 48   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7842   || 68317        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 49   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 6980   || 68435        || 0     | 4     | 0     | 0    || 0    | 0     ||
REP 50   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7839   || 68328        || 0     | 3     | 0     | 1    || 0    | 0     ||
REP 51   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7239   || 68431        || 0     | 0     | 0     | 2    || 0    | 0     ||
REP 52   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7803   || 68254        || 0     | 0     | 0     | 0    || 0    | 0     ||
REP 53   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7890   || 68211        || 0     | 4     | 0     | 0    || 0    | 0     ||
REP 54   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7346   || 68460        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 55   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7190   || 68387        || 0     | 1     | 0     | 2    || 0    | 0     ||
REP 56   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7438   || 68372        || 0     | 3     | 0     | 1    || 0    | 0     ||
REP 57   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7412   || 68372        || 0     | 3     | 0     | 1    || 0    | 0     ||
REP 58   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8245   || 68372        || 0     | 3     | 0     | 2    || 0    | 0     ||
REP 59   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7984   || 68313        || 0     | 4     | 0     | 0    || 0    | 0     ||
REP 60   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7510   || 68225        || 0     | 3     | 0     | 0    || 0    | 0     ||
REP 61   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8295   || 68309        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 62   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7929   || 68376        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 63   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7144   || 68475        || 0     | 2     | 0     | 2    || 0    | 0     ||
REP 64   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7158   || 68416        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 65   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8405   || 68313        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 66   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7413   || 68196        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 67   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7873   || 68328        || 0     | 4     | 0     | 1    || 0    | 0     ||
REP 68   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7500   || 68416        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 69   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7086   || 68357        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 70   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 6706   || 68401        || 0     | 0     | 0     | 0    || 0    | 0     ||
REP 71   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7159   || 68412        || 0     | 4     | 0     | 1    || 0    | 0     ||
REP 72   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7502   || 68412        || 0     | 2     | 0     | 1    || 0    | 0     ||
REP 73   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7590   || 68456        || 0     | 3     | 0     | 1    || 0    | 0     ||
REP 74   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8578   || 68324        || 0     | 3     | 0     | 0    || 0    | 0     ||
REP 75   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7745   || 68328        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 76   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7438   || 68401        || 0     | 2     | 0     | 0    || 0    | 0     ||
REP 77   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7824   || 68416        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 78   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 7931   || 68372        || 0     | 3     | 0     | 0    || 0    | 0     ||
REP 79   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 8025   || 68500        || 0     | 1     | 0     | 0    || 0    | 0     ||
REP 80   ||10 - 20 - 30 - 40 - 50 - 60 - 70 - 80 - 90 - 100 - || 9169   || 68284        || 0     | 1     | 0     | 1    || 0    | 0     ||

AVG Aversion:  7724
BEST Aversion: 6706
C:\Users\thibv\source\repos\DMB\Debug\DMB.exe (process 4960) exited with code 0.
To automatically close the console when debugging stops, enable Tools->Options->Debugging->Automatically close the console when debugging stops.
Press any key to close this window . . .
